Fecha,avance,cobertura,rango_cobertura
2020-12-24,0.0,0.0,<50
2020-12-25,0.03,0.0,<50
2020-12-26,0.04,0.0,<50
2020-12-27,0.04,0.0,<50
2020-12-28,0.04,0.0,<50
2020-12-29,0.04,0.0,<50
2020-12-30,0.04,0.0,<50
2020-12-31,0.04,0.0,<50
2021-01-01,0.04,0.0,<50
2021-01-02,0.04,0.0,<50
2021-01-03,0.04,0.0,<50
2021-01-04,0.05,0.0,<50
2021-01-05,0.05,0.0,<50
2021-01-06,0.05,0.0,<50
2021-01-07,0.05,0.0,<50
2021-01-08,0.05,0.0,<50
2021-01-09,0.05,0.0,<50
2021-01-10,0.05,0.0,<50
2021-01-11,0.05,0.0,<50
2021-01-12,0.05,0.0,<50
2021-01-13,0.05,0.01,<50
2021-01-14,0.07,0.03,<50
2021-01-15,0.07,0.04,<50
2021-01-16,0.07,0.04,<50
2021-01-17,0.07,0.04,<50
2021-01-18,0.13,0.04,<50
2021-01-19,0.22,0.04,<50
2021-01-20,0.27,0.04,<50
2021-01-21,0.29,0.04,<50
2021-01-22,0.29,0.04,<50
2021-01-23,0.29,0.04,<50
2021-01-24,0.29,0.04,<50
2021-01-25,0.29,0.05,<50
2021-01-26,0.29,0.05,<50
2021-01-27,0.29,0.05,<50
2021-01-28,0.29,0.05,<50
2021-01-29,0.29,0.05,<50
2021-01-30,0.29,0.05,<50
2021-01-31,0.29,0.05,<50
2021-02-01,0.29,0.05,<50
2021-02-02,0.36,0.05,<50
2021-02-03,1.22,0.05,<50
2021-02-04,2.11,0.06,<50
2021-02-05,2.96,0.07,<50
2021-02-06,3.11,0.07,<50
2021-02-07,3.15,0.07,<50
2021-02-08,4.27,0.13,<50
2021-02-09,5.51,0.23,<50
2021-02-10,6.89,0.27,<50
2021-02-11,8.17,0.28,<50
2021-02-12,9.33,0.28,<50
2021-02-13,9.48,0.28,<50
2021-02-14,9.51,0.28,<50
2021-02-15,10.86,0.28,<50
2021-02-16,11.98,0.28,<50
2021-02-17,12.93,0.28,<50
2021-02-18,13.72,0.28,<50
2021-02-19,14.44,0.28,<50
2021-02-20,14.49,0.28,<50
2021-02-21,14.5,0.28,<50
2021-02-22,15.05,0.28,<50
2021-02-23,15.53,0.28,<50
2021-02-24,15.96,0.28,<50
2021-02-25,16.4,0.29,<50
2021-02-26,16.8,0.29,<50
2021-02-27,16.85,0.29,<50
2021-02-28,16.85,0.29,<50
2021-03-01,17.55,0.29,<50
2021-03-02,18.35,0.35,<50
2021-03-03,19.16,1.13,<50
2021-03-04,19.89,1.98,<50
2021-03-05,20.58,2.8,<50
2021-03-06,20.63,2.92,<50
2021-03-07,20.64,2.96,<50
2021-03-08,21.33,4.04,<50
2021-03-09,22.04,5.25,<50
2021-03-10,22.73,6.6,<50
2021-03-11,23.6,7.85,<50
2021-03-12,24.37,8.98,<50
2021-03-13,24.49,9.11,<50
2021-03-14,24.5,9.13,<50
2021-03-15,25.3,10.52,<50
2021-03-16,26.15,11.75,<50
2021-03-17,26.92,12.85,<50
2021-03-18,27.67,13.8,<50
2021-03-19,28.36,14.58,<50
2021-03-20,28.48,14.64,<50
2021-03-21,28.49,14.65,<50
2021-03-22,29.22,15.27,<50
2021-03-23,29.97,15.73,<50
2021-03-24,30.74,16.05,<50
2021-03-25,31.54,16.34,<50
2021-03-26,32.38,16.59,<50
2021-03-27,32.45,16.61,<50
2021-03-28,32.45,16.61,<50
2021-03-29,33.22,17.2,<50
2021-03-30,33.9,17.93,<50
2021-03-31,34.54,18.71,<50
2021-04-01,35.22,19.57,<50
2021-04-02,35.23,19.59,<50
2021-04-03,35.24,19.6,<50
2021-04-04,35.24,19.6,<50
2021-04-05,35.65,20.64,<50
2021-04-06,36.12,21.39,<50
2021-04-07,36.6,22.09,<50
2021-04-08,36.98,22.92,<50
2021-04-09,37.34,23.67,<50
2021-04-10,37.4,23.74,<50
2021-04-11,37.4,23.75,<50
2021-04-12,37.8,24.56,<50
2021-04-13,38.18,25.37,<50
2021-04-14,38.58,26.13,<50
2021-04-15,38.89,26.86,<50
2021-04-16,39.18,27.53,<50
2021-04-17,39.22,27.61,<50
2021-04-18,39.23,27.62,<50
2021-04-19,39.45,28.37,<50
2021-04-20,39.65,29.12,<50
2021-04-21,39.8,29.85,<50
2021-04-22,40.09,30.58,<50
2021-04-23,40.29,31.31,<50
2021-04-24,40.32,31.37,<50
2021-04-25,40.32,31.37,<50
2021-04-26,40.54,32.15,<50
2021-04-27,40.74,32.82,<50
2021-04-28,40.96,33.45,<50
2021-04-29,41.11,34.08,<50
2021-04-30,41.37,34.27,<50
2021-05-01,41.38,34.27,<50
2021-05-02,41.38,34.28,<50
2021-05-03,41.77,34.66,<50
2021-05-04,42.18,35.11,<50
2021-05-05,42.59,35.58,<50
2021-05-06,43.0,35.97,<50
2021-05-07,43.43,36.29,<50
2021-05-08,43.52,36.33,<50
2021-05-09,43.52,36.33,<50
2021-05-10,44.05,36.69,<50
2021-05-11,44.59,37.12,<50
2021-05-12,45.12,37.51,<50
2021-05-13,45.61,37.82,<50
2021-05-14,46.14,38.1,<50
2021-05-15,46.14,38.1,<50
2021-05-16,46.14,38.1,<50
2021-05-17,46.78,38.34,<50
2021-05-18,47.46,38.58,<50
2021-05-19,48.1,38.79,<50
2021-05-20,48.74,39.11,<50
2021-05-21,48.78,39.11,<50
2021-05-22,48.92,39.15,<50
2021-05-23,48.93,39.15,<50
2021-05-24,49.83,39.46,<50
2021-05-25,50.79,39.75,<50
2021-05-26,51.7,39.99,<50
2021-05-27,52.55,40.17,<50
2021-05-28,53.28,40.38,<50
2021-05-29,53.49,40.41,<50
2021-05-30,53.54,40.41,<50
2021-05-31,54.33,40.72,<50
2021-06-01,55.08,41.13,<50
2021-06-02,55.75,41.61,<50
2021-06-03,56.23,42.16,<50
2021-06-04,56.62,42.68,<50
2021-06-05,56.75,42.8,<50
2021-06-06,56.77,42.81,<50
2021-06-07,57.18,43.46,<50
2021-06-08,57.58,44.09,<50
2021-06-09,58.05,44.68,<50
2021-06-10,58.61,45.22,<50
2021-06-11,59.03,45.72,<50
2021-06-12,59.15,45.77,<50
2021-06-13,59.16,45.77,<50
2021-06-14,59.71,46.36,<50
2021-06-15,60.15,46.99,<50
2021-06-16,60.68,47.57,<50
